ประทับเวลา	ภาคส่วนการทำงานของท่านคืออะไร? 	อายุ	เพศ	ปัจจุบันคุณอาศัยอยู่ในลักษณะใด?	รายได้ของครอบครัวต่อเดือน	ลองนึกภาพบันไดนี้แทนระดับฐานะทางสังคมของคุณ ได้แก่ การศึกษา การเงิน และมีงานที่ได้รับการเคารพนับถือ ขั้นบนสุดคือดีที่สุด ขั้นล่างสุดคือแย่ที่สุด  คุณคิดว่าตัวเองอยู่ตรงไหนบนบันไดนี้?	โดยเฉลี่ยแล้ว คุณใช้เวลาบนแพลตฟอร์มโซเชียลมีเดีย (Facebook, Instagram, TikTok, X ฯลฯ) กี่ชั่วโมงต่อวัน?	คุณทำสิ่งต่อไปนี้บนโซเชียลมีเดียบ่อยแค่ไหน? [ดูฟีดของเหล่าอินฟลูเอนเซอร์หรือคนที่ดูเหมือนจะร่ำรวยหรือประสบความสำเร็จมากกว่าคุณ]	คุณทำสิ่งต่อไปนี้บนโซเชียลมีเดียบ่อยแค่ไหน? [ชมภาพถ่ายหรือวิดีโอเกี่ยวกับการท่องเที่ยวสุดหรู สินค้าราคาแพง หรือวิถีชีวิตในอุดมคติ โดยไม่มีปฏิสัมพันธ์ (เช่น การกดไลค์/แสดงความคิดเห็น)]	คุณทำสิ่งต่อไปนี้บนโซเชียลมีเดียบ่อยแค่ไหน? [เลื่อนดูข้อความอัปเดตจากเพื่อนหรือคนรู้จักที่ดูเหมือนจะประสบความสำเร็จในชีวิตมากกว่าคุณ]	มีคนสนิทกี่คนที่คุณสามารถพึ่งพาได้หากคุณมีปัญหาใหญ่ในชีวิตส่วนตัว?	ผู้คนให้ความสนใจและห่วงใยในสิ่งที่คุณทำมากน้อยแค่ไหน?	หากต้องการความช่วยเหลือจากเพื่อนบ้าน คุณจะได้รับความช่วยเหลือง่ายแค่ไหน?	คำกล่าวนี้ตรงกับตัวคุณหรือสถานการณ์ของคุณมากน้อยแค่ไหน? [ตอนนี้ฐานะการเงินของฉันค่อนข้างลำบาก]	คำกล่าวนี้ตรงกับตัวคุณหรือสถานการณ์ของคุณมากน้อยแค่ไหน? [จากสถานการณ์ทางการเงินของฉัน ฉันรู้สึกว่าจะไม่มีวันได้สิ่งต่างๆ ที่ฉันต้องการในชีวิต]	คำกล่าวนี้ตรงกับตัวคุณหรือสถานการณ์ของคุณมากน้อยแค่ไหน? [ฉันกังวลว่าเงินที่ฉันมีอยู่ในตอนนี้ หรือเงินที่จะเก็บออมในอนาคตอาจไม่เพียงพอ]	คำกล่าวนี้ตรงกับตัวคุณหรือสถานการณ์ของคุณมากน้อยแค่ไหน? [ฉันสามารถรับมือกับค่าใช้จ่ายทางการเงินก้อนใหญ่ที่ไม่คาดคิดได้]	คำกล่าวนี้ตรงกับชีวิตคุณบ่อยแค่ไหน? [ฉันมีเงินเหลือตอนสิ้นเดือน]	คำกล่าวนี้ตรงกับชีวิตคุณบ่อยแค่ไหน? [ข้อจำกัดทางการเงินส่งผลต่อชีวิตของฉัน]	ในช่วงสองสัปดาห์ที่ผ่านมา คุณรู้สึกแบบนี้บ่อยแค่ไหน... [ฉันรู้สึกร่าเริงและอารมณ์ดี]	ในช่วงสองสัปดาห์ที่ผ่านมา คุณรู้สึกแบบนี้บ่อยแค่ไหน... [ฉันรู้สึกสงบและผ่อนคลาย]	ในช่วงสองสัปดาห์ที่ผ่านมา คุณรู้สึกแบบนี้บ่อยแค่ไหน... [ฉันรู้สึกกระฉับกระเฉงและมีพลัง]	ในช่วงสองสัปดาห์ที่ผ่านมา คุณรู้สึกแบบนี้บ่อยแค่ไหน... [ฉันตื่นขึ้นมาด้วยความรู้สึกสดชื่นและพักผ่อนเต็มที่]	ในช่วงสองสัปดาห์ที่ผ่านมา คุณรู้สึกแบบนี้บ่อยแค่ไหน... [ชีวิตประจำวันของฉันเต็มไปด้วยสิ่งที่ฉันสนใจ]
21/3/2026, 7:19:28	การบริหารราชการและรัฐวิสาหกิจ	35 — 44 ปี	หญิง	อยู่กับครอบครัว / ผู้ปกครอง	50,001 — 80,000 บาท	8	มากกว่า 6 ชั่วโมง	น้อย	น้อย	น้อย	3 — 5 คน	มาก	ง่ายมาก	บ้าง	น้อยมาก	บ้าง	บ้าง	ตลอด	ไม่เคย	มากกว่าครึ่งหนึ่งของเวลา	มากกว่าครึ่งหนึ่งของเวลา	มากกว่าครึ่งหนึ่งของเวลา	มากกว่าครึ่งหนึ่งของเวลา	ส่วนใหญ่ของเวลา
21/3/2026, 8:52:41	บริษัทผลิตยาปัจจุบันและเครื่องสำอาง	35 — 44 ปี	หญิง	อยู่กับครอบครัว / ผู้ปกครอง	30,001 — 50,000 บาท	7	มากกว่า 6 ชั่วโมง	บ่อยครั้ง	บ่อยครั้ง	บ่อยครั้ง	มากกว่า 5 คน	มาก	ง่าย	ไม่เลย	บ้าง	บ้าง	บ้าง	ตลอด	ไม่เคย	มากกว่าครึ่งหนึ่งของเวลา	มากกว่าครึ่งหนึ่งของเวลา	มากกว่าครึ่งหนึ่งของเวลา	มากกว่าครึ่งหนึ่งของเวลา	มากกว่าครึ่งหนึ่งของเวลา
21/3/2026, 10:14:07	สุขภาพและกิจกรรมทางสังคม	มากกว่า 45 ปี																						
21/3/2026, 11:39:55	การศึกษา	25 — 34 ปี	ชาย	อยู่คนเดียว	20,001 — 30,000 บาท	7	4 — 6 ชั่วโมง	บางครั้ง	บางครั้ง	บางครั้ง	มากกว่า 5 คน	มากที่สุด	ง่ายมาก	น้อยมาก	ไม่เลย	บ้าง	ส่วนใหญ่	ตลอด	ไม่เคย	ส่วนใหญ่ของเวลา	ส่วนใหญ่ของเวลา	ส่วนใหญ่ของเวลา	ส่วนใหญ่ของเวลา	ส่วนใหญ่ของเวลา
21/3/2026, 13:22:18	นักเรียน/นักศึกษา																							
21/3/2026, 14:48:33	นักเรียน/นักศึกษา																							
21/3/2026, 15:31:09	พนักงานบริษัท	25 — 34 ปี	หญิง	อยู่คนเดียว	30,001 — 50,000 บาท	6	2 — 4 ชั่วโมง	บางครั้ง	บางครั้ง	น้อย	3 — 5 คน	ไม่เเน่ใจ	เป็นไปได้	น้อยมาก	น้อยมาก	น้อยมาก	ส่วนใหญ่	ตลอด	ตลอด	ส่วนใหญ่ของเวลา	ส่วนใหญ่ของเวลา	มากกว่าครึ่งหนึ่งของเวลา	มากกว่าครึ่งหนึ่งของเวลา	มากกว่าครึ่งหนึ่งของเวลา
21/3/2026, 16:07:44	การเงินและประกันภัย	มากกว่า 45 ปี																						
21/3/2026, 16:56:22	การบริหารราชการและรัฐวิสาหกิจ	มากกว่า 45 ปี																						
21/3/2026, 17:14:52	นักเรียน/นักศึกษา																							
21/3/2026, 17:22:19	สุขภาพและกิจกรรมทางสังคม	25 — 34 ปี	หญิง	อยู่กับครอบครัว / ผู้ปกครอง	มากกว่า 150,000 บาท	8	1 — 2 ชั่วโมง	บ่อยครั้ง	บ่อยมาก	บ่อยครั้ง	3 — 5 คน	มาก	ง่าย	น้อยมาก	น้อยมาก	น้อยมาก	ส่วนใหญ่	ตลอด	ไม่เคย	มากกว่าครึ่งหนึ่งของเวลา	มากกว่าครึ่งหนึ่งของเวลา	มากกว่าครึ่งหนึ่งของเวลา	มากกว่าครึ่งหนึ่งของเวลา	มากกว่าครึ่งหนึ่งของเวลา
21/3/2026, 17:23:38	การค้าส่ง ค้าปลีก และการซ่อมแซม	มากกว่า 45 ปี																						
21/3/2026, 17:36:55	การเกษตรกรรม ป่าไม้ และประมง	18 — 24 ปี	ชาย	อยู่กับครอบครัว / ผู้ปกครอง	น้อยกว่า 10,000 บาท	6	1 — 2 ชั่วโมง	น้อย	น้อย	บางครั้ง	1 — 2 คน	น้อย	เป็นไปได้	น้อยมาก	บ้าง	บ้าง	น้อยมาก	ตลอด	ตลอด	น้อยกว่าครึ่งหนึ่งของเวลา	น้อยกว่าครึ่งหนึ่งของเวลา	น้อยกว่าครึ่งหนึ่งของเวลา	น้อยกว่าครึ่งหนึ่งของเวลา	น้อยกว่าครึ่งหนึ่งของเวลา
21/3/2026, 17:41:58	การค้าส่ง ค้าปลีก และการซ่อมแซม	25 — 34 ปี	ชาย	อยู่กับครอบครัว / ผู้ปกครอง	50,001 — 80,000 บาท	9	1 — 2 ชั่วโมง	น้อย	น้อย	น้อย	1 — 2 คน	น้อย	ยาก	ไม่เลย	ไม่เลย	น้อยมาก	ส่วนใหญ่	ตลอด	ไม่เคย	ส่วนใหญ่ของเวลา	ส่วนใหญ่ของเวลา	ส่วนใหญ่ของเวลา	ส่วนใหญ่ของเวลา	ส่วนใหญ่ของเวลา
21/3/2026, 17:47:47	รับจ้างทั่วไป	18 — 24 ปี	หญิง	อยู่กับครอบครัว / ผู้ปกครอง	30,001 — 50,000 บาท	6	1 — 2 ชั่วโมง	น้อย	น้อย	น้อย	1 — 2 คน	น้อย	ยาก	ไม่เลย	ไม่เลย	น้อยมาก	ตลอดเวลา	ตลอด	ไม่เคย	มากกว่าครึ่งหนึ่งของเวลา	มากกว่าครึ่งหนึ่งของเวลา	มากกว่าครึ่งหนึ่งของเวลา	มากกว่าครึ่งหนึ่งของเวลา	มากกว่าครึ่งหนึ่งของเวลา
21/3/2026, 18:05:33	การสื่อสารและเทคโนโลยีสารสนเทศ	18 — 24 ปี	หญิง	อยู่กับครอบครัว / ผู้ปกครอง	80,001 — 150,000 บาท	8	1 — 2 ชั่วโมง	บ่อยครั้ง	บ่อยมาก	บ่อยมาก	3 — 5 คน	มาก	ง่าย	ไม่เลย	ไม่เลย	ไม่เลย	ตลอดเวลา	ตลอด	ไม่เคย	บางครั้ง	ไม่เคยเลย	บางครั้ง	ไม่เคยเลย	ไม่เคยเลย
21/3/2026, 18:43:09	การค้าส่ง ค้าปลีก และการซ่อมแซม	18 — 24 ปี	หญิง	อยู่คนเดียว	20,001 — 30,000 บาท	4	2 — 4 ชั่วโมง	บ่อยมาก	บ่อยมาก	บ่อยมาก	3 — 5 คน	น้อย	ยาก	ส่วนใหญ่	ส่วนใหญ่	ตลอดเวลา	น้อยมาก	ไม่เคย	ตลอด	น้อยกว่าครึ่งหนึ่งของเวลา	น้อยกว่าครึ่งหนึ่งของเวลา	น้อยกว่าครึ่งหนึ่งของเวลา	น้อยกว่าครึ่งหนึ่งของเวลา	น้อยกว่าครึ่งหนึ่งของเวลา
21/3/2026, 18:52:31	การศึกษา	18 — 24 ปี	หญิง	อยู่คนเดียว	30,001 — 50,000 บาท	4	1 — 2 ชั่วโมง	บ่อยครั้ง	บางครั้ง	น้อย	3 — 5 คน	มาก	เป็นไปได้	ตลอดเวลา	ส่วนใหญ่	ตลอดเวลา	ไม่เลย	ไม่เคย	ตลอด	ส่วนใหญ่ของเวลา	มากกว่าครึ่งหนึ่งของเวลา	มากกว่าครึ่งหนึ่งของเวลา	มากกว่าครึ่งหนึ่งของเวลา	มากกว่าครึ่งหนึ่งของเวลา
21/3/2026, 19:12:41	การขนส่งและคลังสินค้า	35 — 44 ปี	หญิง	อยู่กับเพื่อน / คู่รัก / แชร์ที่พัก	20,001 — 30,000 บาท	5	น้อยกว่า 1 ชั่วโมง	น้อย	น้อย	น้อย	1 — 2 คน	น้อย	ยาก	ส่วนใหญ่	บ้าง	ส่วนใหญ่	น้อยมาก	ไม่เคย	ตลอด	น้อยกว่าครึ่งหนึ่งของเวลา	น้อยกว่าครึ่งหนึ่งของเวลา	น้อยกว่าครึ่งหนึ่งของเวลา	น้อยกว่าครึ่งหนึ่งของเวลา	น้อยกว่าครึ่งหนึ่งของเวลา
21/3/2026, 19:20:54	ที่พักแรมและบริการด้านอาหาร	35 — 44 ปี	หญิง	อยู่คนเดียว	50,001 — 80,000 บาท	8	1 — 2 ชั่วโมง	บ่อยครั้ง	บ่อยมาก	บ่อยครั้ง	1 — 2 คน	น้อย	ยาก	ไม่เลย	ไม่เลย	ไม่เลย	ส่วนใหญ่	ตลอด	ไม่เคย	บางครั้ง	บางครั้ง	บางครั้ง	บางครั้ง	บางครั้ง
21/3/2026, 20:20:55	นักเรียน/นักศึกษา																							
21/3/2026, 20:31:22	ที่พักแรมและบริการด้านอาหาร	25 — 34 ปี	หญิง	อยู่คนเดียว	20,001 — 30,000 บาท	6	1 — 2 ชั่วโมง	น้อย	น้อย	น้อย	1 — 2 คน	น้อย	ยาก	ไม่เลย	ไม่เลย	ไม่เลย	ตลอดเวลา	ตลอด	ไม่เคย	ส่วนใหญ่ของเวลา	ส่วนใหญ่ของเวลา	ส่วนใหญ่ของเวลา	ส่วนใหญ่ของเวลา	ส่วนใหญ่ของเวลา
21/3/2026, 20:33:48	สุขภาพและกิจกรรมทางสังคม	35 — 44 ปี	ชาย	อยู่กับครอบครัว / ผู้ปกครอง	50,001 — 80,000 บาท	7	มากกว่า 6 ชั่วโมง	น้อย	น้อย	น้อย	1 — 2 คน	ไม่เเน่ใจ	เป็นไปได้	น้อยมาก	บ้าง	บ้าง	บ้าง	ตลอด	ไม่เคย	บางครั้ง	บางครั้ง	บางครั้ง	บางครั้ง	บางครั้ง
21/3/2026, 20:42:15	สุขภาพและกิจกรรมทางสังคม	มากกว่า 45 ปี																						
21/3/2026, 20:48:13	นักเรียน/นักศึกษา																							
21/3/2026, 20:52:41	สุขภาพและกิจกรรมทางสังคม	มากกว่า 45 ปี																						
21/3/2026, 20:58:07	สุขภาพและกิจกรรมทางสังคม	25 — 34 ปี	หญิง	อยู่กับเพื่อน / คู่รัก / แชร์ที่พัก	30,001 — 50,000 บาท	7	มากกว่า 6 ชั่วโมง	บ่อยมาก	บางครั้ง	บ่อยครั้ง	3 — 5 คน	มาก	ง่าย	น้อยมาก	บ้าง	บ้าง	ส่วนใหญ่	ตลอด	ไม่เคย	ตลอด	ส่วนใหญ่ของเวลา	ส่วนใหญ่ของเวลา	มากกว่าครึ่งหนึ่งของเวลา	ส่วนใหญ่ของเวลา
21/3/2026, 21:04:52	การศึกษา	25 — 34 ปี	ชาย	อยู่คนเดียว	30,001 — 50,000 บาท	2	1 — 2 ชั่วโมง	ไม่เคย	ไม่เคย	ไม่เคย	3 — 5 คน	มาก	เป็นไปได้	น้อยมาก	บ้าง	ส่วนใหญ่	ส่วนใหญ่	ตลอด	ตลอด	บางครั้ง	น้อยกว่าครึ่งหนึ่งของเวลา	น้อยกว่าครึ่งหนึ่งของเวลา	บางครั้ง	บางครั้ง
21/3/2026, 21:14:27	รับราชการ	มากกว่า 45 ปี																						
21/3/2026, 21:17:44	การสื่อสารและเทคโนโลยีสารสนเทศ	25 — 34 ปี	ชาย	อยู่กับครอบครัว / ผู้ปกครอง	มากกว่า 150,000 บาท	4	2 — 4 ชั่วโมง	บางครั้ง	บางครั้ง	บางครั้ง	1 — 2 คน	ไม่เเน่ใจ	เป็นไปได้	ส่วนใหญ่	บ้าง	ส่วนใหญ่	ส่วนใหญ่	ไม่เคย	ตลอด	น้อยกว่าครึ่งหนึ่งของเวลา	บางครั้ง	บางครั้ง	บางครั้ง	น้อยกว่าครึ่งหนึ่งของเวลา
21/3/2026, 21:24:19	การศึกษา	25 — 34 ปี	ชาย	อยู่คนเดียว	20,001 — 30,000 บาท	6	1 — 2 ชั่วโมง	น้อย	น้อย	น้อย	1 — 2 คน	ไม่เเน่ใจ	ง่าย	น้อยมาก	ไม่เลย	น้อยมาก	บ้าง	ตลอด	ตลอด	มากกว่าครึ่งหนึ่งของเวลา	น้อยกว่าครึ่งหนึ่งของเวลา	มากกว่าครึ่งหนึ่งของเวลา	มากกว่าครึ่งหนึ่งของเวลา	มากกว่าครึ่งหนึ่งของเวลา
21/3/2026, 21:39:51	บัญชี	25 — 34 ปี	หญิง	อยู่กับเพื่อน / คู่รัก / แชร์ที่พัก	10,000 — 20,000 บาท	6	2 — 4 ชั่วโมง	บางครั้ง	บางครั้ง	บางครั้ง	1 — 2 คน	ไม่เเน่ใจ	ง่าย	บ้าง	ไม่เลย	บ้าง	ไม่เลย	ตลอด	ตลอด	มากกว่าครึ่งหนึ่งของเวลา	มากกว่าครึ่งหนึ่งของเวลา	มากกว่าครึ่งหนึ่งของเวลา	มากกว่าครึ่งหนึ่งของเวลา	มากกว่าครึ่งหนึ่งของเวลา
21/3/2026, 21:59:08	ขายของออนไลน์	25 — 34 ปี	หญิง	อยู่กับเพื่อน / คู่รัก / แชร์ที่พัก	10,000 — 20,000 บาท	1	4 — 6 ชั่วโมง	บางครั้ง	บ่อยครั้ง	น้อย	1 — 2 คน	ไม่เเน่ใจ	เป็นไปได้	ส่วนใหญ่	ส่วนใหญ่	ส่วนใหญ่	น้อยมาก	ไม่เคย	ตลอด	บางครั้ง	บางครั้ง	บางครั้ง	บางครั้ง	บางครั้ง
22/3/2026, 8:41:33	การเกษตรกรรม ป่าไม้ และประมง	น้อยกว่า 18 ปี																						
22/3/2026, 9:57:19	การศึกษา	25 — 34 ปี	ชาย	อยู่คนเดียว	10,000 — 20,000 บาท	5	4 — 6 ชั่วโมง	บางครั้ง	บางครั้ง	บ่อยครั้ง	มากกว่า 5 คน	ไม่เเน่ใจ	ง่าย	บ้าง	น้อยมาก	บ้าง	น้อยมาก	ตลอด	ตลอด	ส่วนใหญ่ของเวลา	มากกว่าครึ่งหนึ่งของเวลา	มากกว่าครึ่งหนึ่งของเวลา	มากกว่าครึ่งหนึ่งของเวลา	มากกว่าครึ่งหนึ่งของเวลา
22/3/2026, 11:08:52	การบริหารราชการและรัฐวิสาหกิจ	น้อยกว่า 18 ปี																						
22/3/2026, 12:35:44	นักเรียน/นักศึกษา																							
22/3/2026, 13:48:07	นักเรียน/นักศึกษา																							
22/3/2026, 14:22:29	นักเรียน/นักศึกษา																							
22/3/2026, 15:59:18	นักเรียน/นักศึกษา																							
22/3/2026, 16:45:37	นักเรียน/นักศึกษา																							
22/3/2026, 17:03:52	นักเรียน/นักศึกษา																							
22/3/2026, 17:11:28	นักเรียน/นักศึกษา																							
22/3/2026, 17:18:09	สุขภาพและกิจกรรมทางสังคม	น้อยกว่า 18 ปี																						
22/3/2026, 17:25:41	นักเรียน/นักศึกษา																							
22/3/2026, 17:27:37	นักเรียน/นักศึกษา																							
22/3/2026, 7:29:44	อุตสาหกรรมการผลิตและโรงงาน	น้อยกว่า 18 ปี																						
22/3/2026, 17:33:07	การเงินและประกันภัย	น้อยกว่า 18 ปี																						
22/3/2026, 17:35:14	นักเรียน/นักศึกษา																							
22/3/2026, 18:08:19	นักเรียน/นักศึกษา																							
22/3/2026, 18:21:44	นักเรียน/นักศึกษา																							
22/3/2026, 18:37:03	นักเรียน/นักศึกษา																							
22/3/2026, 19:14:52	นักเรียน/นักศึกษา																							
22/3/2026, 19:49:37	นักเรียน/นักศึกษา																							
22/3/2026, 20:16:09	ที่พักแรมและบริการด้านอาหาร	25 — 34 ปี	ชาย	อยู่คนเดียว	10,000 — 20,000 บาท	2	2 — 4 ชั่วโมง	บ่อยมาก	บ่อยมาก	บางครั้ง	ไม่มี	น้อย	ยาก	ส่วนใหญ่	ส่วนใหญ่	ส่วนใหญ่	ไม่เลย	ไม่เคย	ตลอด	บางครั้ง	บางครั้ง	บางครั้ง	น้อยกว่าครึ่งหนึ่งของเวลา	น้อยกว่าครึ่งหนึ่งของเวลา
22/3/2026, 20:24:55	นักเรียน/นักศึกษา																							
22/3/2026, 20:30:41	การสื่อสารและเทคโนโลยีสารสนเทศ	25 — 34 ปี	ไม่ต้องการระบุ	อยู่กับครอบครัว / ผู้ปกครอง	20,001 — 30,000 บาท	3	4 — 6 ชั่วโมง	บ่อยครั้ง	บ่อยครั้ง	บ่อยครั้ง	ไม่มี	น้อย	ยาก	บ้าง	ส่วนใหญ่	บ้าง	น้อยมาก	ไม่เคย	ตลอด	บางครั้ง	บางครั้ง	บางครั้ง	บางครั้ง	บางครั้ง
22/3/2026, 20:33:08	นักเรียน/นักศึกษา																							
22/3/2026, 20:36:20	นักเรียน/นักศึกษา																							
